Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
121,31,9,60,0,Some Random Commen with Id 121
122,32,0,164,3,Some Random Commen with Id 122
123,32,0,61,2,Some Random Commen with Id 123
124,32,0,8,1,Some Random Commen with Id 124
125,33,8,176,8,Some Random Commen with Id 125
126,33,8,75,0,Some Random Commen with Id 126
127,33,8,92,0,Some Random Commen with Id 127
128,33,8,67,1,Some Random Commen with Id 128
129,33,8,88,7,Some Random Commen with Id 129
130,33,8,23,5,Some Random Commen with Id 130
131,33,8,191,0,Some Random Commen with Id 131
132,33,8,183,6,Some Random Commen with Id 132
133,33,8,50,7,Some Random Commen with Id 133
134,34,9,165,8,Some Random Commen with Id 134
135,34,9,30,9,Some Random Commen with Id 135
136,34,9,71,7,Some Random Commen with Id 136
137,34,9,64,2,Some Random Commen with Id 137
138,34,9,133,7,Some Random Commen with Id 138
139,34,9,13,7,Some Random Commen with Id 139
140,34,9,161,9,Some Random Commen with Id 140
141,34,9,19,6,Some Random Commen with Id 141
142,35,2,196,2,Some Random Commen with Id 142
143,37,1,196,6,Some Random Commen with Id 143
144,37,1,126,3,Some Random Commen with Id 144
145,37,1,24,6,Some Random Commen with Id 145
146,37,1,130,8,Some Random Commen with Id 146
147,38,2,46,0,Some Random Commen with Id 147
148,38,2,156,9,Some Random Commen with Id 148
149,39,3,129,5,Some Random Commen with Id 149
150,39,3,122,6,Some Random Commen with Id 150
151,39,3,1,1,Some Random Commen with Id 151
152,39,3,171,8,Some Random Commen with Id 152
153,39,3,121,7,Some Random Commen with Id 153
154,39,3,73,8,Some Random Commen with Id 154
155,39,3,62,9,Some Random Commen with Id 155
156,39,3,169,3,Some Random Commen with Id 156
